X_COORD,Y_COORD
105.0756492,12.0589477
103.3892561,12.8549872
103.0981999,12.3015035
106.877582,12.6156728
106.9309687,12.5814971
102.9083669,11.6528617
103.344475,12.9524462
105.5964863,13.7753664
106.3731447,13.1677665
105.231629,13.5697186
107.1108892,13.7750005
102.9515398,13.9916672
102.9830769,13.9336905
104.2485422,13.6295432
104.2260009,13.4721544
105.1113482,13.3326637
104.4567697,13.375263
104.7101692,13.6550407
104.6424714,13.5683497
104.3514216,13.370889
104.4122283,13.4254394
106.1691459,10.9986692
106.2052661,10.9336835
106.0811825,10.8724737
106.1314316,10.8841797
106.2046958,10.8655283
106.1714472,10.7687975
105.9417889,10.8422187
104.6573611,10.9482442
102.8362076,12.5101265
104.5135392,11.2588893
104.585799,11.208934
105.28461,11.9013183
102.6296529,12.6583019
105.8141555,11.3298279
105.5217471,11.4831657
105.7151913,11.2254407
105.7132448,11.5298046
106.1773349,11.9350743
105.3310889,12.3303148
105.9304438,11.7667471
106.3376936,11.8929369
105.419635,11.6808935
105.3658658,11.7327549
105.3672228,11.8251
105.7217814,11.755725
105.2737333,12.5914045
105.5710316,12.5592707
105.8114365,11.6434877
105.9858909,11.6628598
106.1544867,11.7529894
106.3387138,11.7673982
106.3799697,11.7081719
106.2161384,11.6694035
106.0337334,12.6104239
104.6562483,11.7909556
106.0292872,12.6959412
105.9683029,12.6383239
104.570267,11.61922
104.5273902,11.5666775
104.7002298,11.6837497
104.6650579,11.4438046
104.7593243,11.5738611
104.6472379,11.3571798
106.0541833,12.3361685
106.0387314,12.3748697
105.8364205,10.9198495
105.9555399,12.4670993
106.8870685,12.1070152
106.4089424,12.3034945
102.9427811,11.7732127
107.2242886,12.6787476
104.590817,10.5366239
104.4419008,10.4441896
105.8589742,12.3627824
105.8571782,12.533849
107.1782905,13.3115166
105.4509218,11.3820685
107.3017744,13.3119593
107.4223161,13.0698043
105.5495047,11.1923893
105.4580412,11.0210944
105.3888088,11.1707184
107.4385651,13.7547124
103.6666,13.6606532
103.6786325,13.6827304
103.7422998,13.6818288
103.7595601,13.6855057
103.9739761,13.354857
102.8132013,12.8515297
106.1903081,13.9977223
107.3400515,12.546459
106.907948,14.0298524
106.8010655,13.9652829
104.6318335,12.2469711
103.2088269,12.0822675
103.0983137,12.872156
104.1273323,13.1058079
103.6591253,13.2405052
103.8280203,13.2340427
105.32127,12.1793248
105.1265537,12.5004068
103.3623172,12.9187247
105.0041847,11.7867958
104.1219699,13.2459296
104.0003567,13.6519904
103.9854756,13.6162409
104.2083925,12.5777717
103.6414051,12.6723546
104.4598112,12.4362109
103.7635896,10.5829106
104.9800047,11.8411311
104.9291344,11.9126469
104.9686607,11.7367562
104.9652024,12.0273582
105.0897137,12.1293716
105.1226345,12.1917674
105.0711401,12.0984948
104.9916011,12.6254849
105.0126078,12.845689
102.7476926,12.7568948
102.8539332,12.5982101
104.6732034,11.0130714
102.4975002,12.9287496
102.4581675,13.0358015
104.7811377,13.4050251
103.7882796,10.5360562
105.2694477,11.9450421
104.7074123,11.2874239
107.5752576,14.6967867
104.7318919,14.2383628
105.1149588,13.3548382
102.4465797,13.0891615
105.274684,13.8073036
105.8515458,13.6969253
104.6629872,10.7771671
104.5612838,10.6655426
105.1052769,10.7222811
105.0433962,10.6687908
105.0035279,10.6532495
104.9984639,10.634796
104.9915233,10.618015
104.9948793,10.6252658
104.9587343,11.1624021
105.9388905,12.1935507
105.6983071,12.2502278
105.5466077,12.1411778
105.5446691,11.9446167
105.6254787,11.914365
105.5473084,12.0958504
105.7420154,11.8769066
105.7823332,11.8286792
106.2761656,11.8252177
106.3735014,11.9660489
106.3987999,12.0347981
106.4037201,12.0169992
106.8863722,12.1122304
105.4127089,12.2996807
105.4246988,12.9018586
105.4241624,12.9416177
103.268924,12.8595757
104.3921456,10.5777395
103.1489974,12.9493748
103.2232224,12.9520267
103.2994331,12.9733858
103.3282301,12.9797688
104.839339,11.7001101
104.4665532,13.3812769
103.1052855,14.0674658
103.6934515,14.4141518
106.0745806,13.4324762
103.5089573,11.313906
103.2813975,14.1617182
102.5440236,13.6649477
104.9445408,12.9508636
104.3976054,13.0910779
104.00841,13.3366983
102.8687542,12.7217541
103.0919094,13.2657601
102.9728983,12.8917967
103.050955,12.9668161
102.8955325,12.8344867
103.4756351,11.1867776
102.7168934,12.8128474
104.2126101,11.2772495
104.7240956,11.6429433
106.5373514,14.5937062
105.0786729,11.7838444
107.1675107,12.4997551
107.3086604,12.4208076
107.1152138,12.390241
106.4961717,14.072709
107.2385483,12.4856164
103.710649,11.4619301
104.9648882,11.572519
105.1185656,12.4291778
106.0240734,12.6145205
103.2597071,12.9718213
103.3128515,13.0116781
103.2536138,13.0644715
105.1370316,12.5672432
103.2402951,13.0770994
103.1513138,12.9683015
103.2696738,13.0521761
102.838959,12.8504913
102.7691538,12.8464936
103.0138945,12.9316909
103.1459257,12.8741996
103.1397292,12.897284
103.2513564,12.9289052
103.2344302,13.0831945
103.2847931,13.0390885
103.2993612,13.0312946
103.3753,12.8849564
103.3985863,12.841606
103.3713009,12.8950304
103.2158336,12.7183507
103.3401728,12.9589025
103.3522805,12.9406827
106.2091572,10.9688198
106.1285716,10.9283646
105.2825159,12.0541574
105.3016775,12.0550807
103.1055178,13.6347275
107.0764758,14.074159
106.9283975,13.9939243
106.950504,13.8389613
106.843547,13.969544
103.7567483,13.5440346
105.0932816,12.4331821
104.3364802,13.1238655
103.3928453,12.640199
104.9417431,11.6742294
104.9401377,11.629877
105.0225185,11.4631584
104.7465631,11.8703074
102.6124718,13.7067491
102.6557404,13.7225427
102.7367627,13.7730237
102.7029186,13.7621394
102.675905,13.7368524
102.6615107,13.6825003
102.7318006,13.6190543
102.7418428,13.6547125
103.9738652,13.2112409
104.912739,11.5916578
104.3834166,11.3608916
105.3574852,11.5201773
105.1685733,11.6582984
105.3644811,11.5250969
105.3610577,11.5610012
105.3759023,11.5509868
105.3476581,11.2170797
105.6236079,11.1512306
105.1128843,10.9574991
105.0786501,10.9320461
105.0407606,10.894651
105.064901,10.8330212
105.0667213,10.7958567
105.8888806,13.4623161
104.0269742,13.8020354
102.3338,13.5042174
104.6645152,12.171435
106.9747355,13.6079494
105.10717,12.3320015
103.272748,10.6660696
103.0719723,11.4609776
107.0010124,13.8173761
106.7920068,13.9525037
106.9083802,14.0300125
107.0401827,13.0760183
107.0191702,12.9994581
107.0044074,13.0194503
104.8322133,10.8865424
104.8309913,10.8576098
104.7983052,10.8059315
104.7174814,10.9005004
104.7824997,10.8426624
104.7802661,10.8941031
104.7506177,10.9333266
104.8856448,10.9372704
104.7513378,10.7978826
104.8364855,10.8004948
104.8292648,10.9572218
104.810425,10.9097849
104.8368503,10.829381
104.7408709,10.8609481
103.6187095,10.5085901
104.8075184,11.0673763
104.7929146,11.6551695
104.7636431,11.6290728
104.7456644,11.5691298
104.7696444,11.5789992
104.7398177,11.2638718
104.764363,11.3141446
104.9004929,11.3281258
105.0212672,11.306256
105.0037946,11.3613991
105.0475273,11.3183964
104.4460679,10.4360597
104.9358501,11.5513031
104.9178497,11.547771
104.9184799,11.5529917
104.9249988,11.5504554
104.9133669,11.5532352
104.9062018,11.5543617
104.9049028,11.54573
104.9171345,11.5402098
104.911736,11.5390817
104.9195039,11.530112
104.922449,11.5406943
104.9214864,11.5708489
104.9194883,11.5690196
104.923734,11.5664641
104.9218237,11.5606982
104.9288938,11.5690461
104.9267005,11.5677477
104.9310313,11.5589062
104.9318758,11.5635454
104.9261668,11.5713455
104.9198536,11.5837416
104.9235581,11.5747464
104.8778887,11.4150977
104.9172429,11.5636923
104.9138375,11.5630465
104.9158876,11.5654018
104.9180714,11.5656046
104.9171913,11.5694231
104.911395,11.569344
104.9094089,11.5624743
104.9173953,11.5595067
104.9029362,11.5690209
104.9031949,11.5656231
104.904571,11.5626152
104.8940296,11.5674848
104.8955587,11.5637832
104.891708,11.5574506
104.8974246,11.5829536
104.8919929,11.5764495
104.9042409,11.5578276
104.8979144,11.5533121
104.8863087,11.4960888
104.8236934,11.476319
104.8397681,11.475629
104.8618029,11.4964374
104.7958031,11.46919
104.8348848,11.4445966
104.8400571,11.4381788
104.9022203,11.4462201
104.8727746,11.4357024
104.874518,11.4628105
104.8567289,11.4392438
104.8914669,11.5389038
104.9067485,11.5306101
104.9477173,11.5063174
104.9385287,11.5298382
104.9381036,11.5360096
104.9279624,11.5218631
104.9354496,11.5041187
104.9537196,11.5262469
105.0102142,11.5036877
104.9886913,11.5289849
104.9820909,11.4703998
104.9733348,11.5310124
104.6368255,12.2277932
104.6337685,12.2251853
104.6392325,12.2283249
104.8693076,11.6465889
104.9115177,11.6059827
104.8836232,11.6344362
104.8920545,11.6228555
104.9350085,11.5895042
104.9156264,11.6446568
104.9287513,11.7027152
104.9363037,11.6647479
104.8593363,11.6222282
104.8726942,11.5866396
104.8772428,11.5594249
104.8552509,11.6653243
104.8351562,11.6854873
104.795792,11.553532
104.8184632,11.5992797
104.8050835,11.4940305
104.8416405,11.5239408
104.8442257,11.5558073
104.8086026,11.5751626
104.8379604,11.5857656
104.771594,11.4767247
104.7746396,11.5416595
104.7833627,11.5061345
103.0177392,13.5104093
102.9725752,13.5262537
102.8923659,13.4569526
103.1305496,13.459291
103.1020792,13.5497698
103.0224164,13.4456328
103.0284867,13.4104346
102.9464501,13.4880225
103.0346272,13.5470075
103.2106465,13.4371027
102.8381483,13.4098467
103.0920226,13.4937096
103.1132702,13.5211864
105.923996,11.374085
105.887561,11.338258
105.88578,11.536943
103.4052918,13.8918216
103.3572299,13.8401992
103.2139868,13.7927097
103.399776,13.711684
103.3192528,13.7275991
103.3828426,13.7704548
103.0957003,13.6225756
103.1681942,13.6638149
103.2928573,13.5387145
103.364093,13.449037
103.1654096,13.5754057
103.2445687,13.6248637
103.2210337,13.7086274
103.3785291,13.6310672
103.0792732,13.6969907
104.6441047,10.5258933
104.5688112,11.0512407
105.6877602,11.6162588
105.84353,10.845656
105.865631,10.832294
105.811729,10.936304
105.707274,10.984251
106.012788,10.84005
105.957556,10.85221
106.164708,10.958066
106.199491,10.871007
102.8895714,13.6441455
102.782981,13.6099675
102.7572885,13.5655609
102.8328438,13.5304714
102.822933,13.6496689
102.8351942,13.7273103
102.7378202,13.7374
102.5854871,13.6424227
102.5622688,13.6597298
102.7003994,13.6315654
102.9648068,13.6175852
103.0368099,13.5780457
102.9620529,13.6708318
102.9315361,13.5575298
103.0487352,13.6174063
102.9863153,13.5828301
102.9081956,13.5819882
103.0934719,14.0694373
102.935528,13.9951214
103.0523805,13.9414476
103.1480637,13.8879594
103.0261071,13.9806406
103.0612033,13.8893431
103.1549275,13.817701
103.1195475,13.759706
102.8419408,13.7742935
102.9628788,13.8054986
102.9698263,13.7699563
103.0472572,13.7643945
102.9471226,13.8899882
102.9883113,13.8035946
102.3680025,13.5131183
102.3657833,13.5687169
102.4317522,13.5240854
102.5017998,13.5274362
102.5938233,13.5531144
102.7252954,13.5068435
103.1595196,12.8966496
103.1153725,12.9360308
103.1821759,12.9769769
103.1462857,12.9968151
103.071575,12.8546995
103.0816503,13.0315904
103.0297908,12.9583887
103.0005532,13.0971636
103.1661427,13.2580689
103.1472193,13.3071533
103.1159897,13.1824567
103.106508,13.1147228
102.989521,13.1599631
103.1238137,13.3606097
103.0725515,13.3829668
103.0675146,13.2488094
103.0217393,13.2462594
102.9859483,13.2716429
103.1868626,13.0933619
103.2120123,13.0829164
103.213829,13.1004825
103.1832381,13.1202732
103.1924282,13.1272408
103.195618,13.1455653
103.134455,13.0731686
103.1787181,13.0592191
103.1697462,13.10271
103.1967875,13.0934306
102.8773064,13.2544052
102.9495343,13.2734687
102.9497664,13.3304773
102.7609052,13.3753635
102.7468051,13.286431
102.7828774,13.128746
102.8251435,13.0853871
102.7942189,13.1917749
103.2744763,13.290457
103.2401622,13.1514512
103.2667472,13.1871807
103.3137691,13.2392681
103.1946789,13.2551445
103.3719096,13.340063
103.6106403,13.2458871
103.3950898,12.7918443
103.4440899,12.6902237
103.517301,12.6859927
103.5900788,12.6631289
103.6067428,12.9081689
103.4762089,12.866688
103.4157617,12.8412422
103.3828392,12.9001704
103.388313,12.7141232
102.880573,12.9375162
102.9944452,12.8104927
102.8669054,12.7823285
102.8984533,12.8586283
103.2369489,13.0835335
103.2168386,13.1179291
103.386877,13.1533444
103.3873838,13.0872807
103.3736612,13.0392945
103.3941902,12.97404
103.258426,12.9419519
103.2342122,13.0152558
103.2738484,13.0283828
103.2029218,13.0110986
102.810465,12.4628128
102.9308101,12.5405207
102.9564759,12.7156299
102.7763787,12.5552051
102.7196736,12.6170347
102.7871889,12.7074772
102.8928732,12.6462574
102.6141448,13.3713543
102.4679617,13.365276
102.4341969,13.420873
102.3931586,13.4367762
102.4651388,13.4524157
102.463125,13.4680517
102.5440886,13.3152192
102.422601,13.2216681
102.5323071,13.3526298
102.3643067,13.3530398
102.5507983,13.2597461
102.5357143,13.0310843
102.478646,13.0932601
102.5522027,13.1025969
102.4753039,13.1333572
102.4629165,13.1727631
102.6875764,13.1567698
103.2478186,12.8434672
103.2656741,12.7538067
103.3055801,12.7872473
103.2692546,12.650793
103.1781085,12.775764
103.1623004,12.6514202
103.3551511,12.6131892
103.5215313,12.5643963
104.7137945,11.609557
104.9328156,11.7033428
105.9443574,11.384589
104.6737586,11.5184607
105.0491986,11.6116113
105.1887109,11.5107159
105.1701939,11.4795981
105.1410705,11.4970498
103.4168275,13.5888453
104.19204,10.6065669
104.0032926,13.3551014
105.0479221,11.5017882
105.3257883,12.0961124
103.7673134,13.54893
103.8948941,13.6150082
105.0466829,12.5675175
105.5000353,10.9550434
105.4993272,10.9519466
103.8347711,13.36489
104.6709323,12.155231
104.79139,11.4683444
105.7342776,11.8867129
105.7280204,11.8311903
105.6353313,11.8845665
105.5908048,11.8741176
105.5266648,11.9574325
105.5305226,12.2258739
104.1110586,13.5658709
106.3529464,14.0274496
105.8234169,11.5305197
105.1493395,12.0607274
106.3599945,14.0449809
105.9063453,10.8317126
105.9823588,10.859332